English, えいご
Japanese, にほんご
time, じかん
sky, そら
dislike, きらい
a little; somewhat, ちょっと
rice ball, おにぎり
umbrella, かさ
tofu, とうふ
manga, まんが
shoes, くつ
north, きた
scissors, はさみ
morning, あさ
summer, なつ
I'm sorry, ごめんなさい
monkey, さる
strong, つよい
weak, よわい
goodbye, さようなら
fast; early, はやい
vegetable stand, やおや
ears, みみ
head, あたま
deep fried foods, てんぷら
snacks, おかし
snake, へび
ticket, きっぷ
clear (weather), はれ
subway, ちかてつ
seat; cough, せき
yen, えん
meat, にく
cat, ねこ
squid, いか
room; bedroom, へや
vegetables, やさい
cheap, やすい
in front of, まえ
Japan (country), にほん
street, みち
green tea, おちゃ
rabbit, うさぎ
basement, ちか
weather, てんき
sweet, あまい
book, ほん
beef, ぎゅうにく
cow, うし
buckwheat noodles, そば
excuse me, すみません
to sleep, ねる
eyes, め
sliced raw fish, さしみ
delicious!, おいしい
horse, うま
one thousand, せん
cold, あつい
deer, しか
hello (on the phone), もしもし
telephone, でんわ
pretty; clean, きれい
spicy, からい
how much, いくら
water, みず
salt, しお
dog, いぬ
money (general), おかね
every day, まいにち
rice; meal, ごはん
friend, ともだち
karate, からて
red, あか
ant, あり
autumn, あき
rain; hard candy, あめ
blue, あお
good, いい
chair, いす
yes, はい
home, うち
arm, うで
up, うえ
plum, うめ
train station, えき
fly, はえ
shrimp, えび
face, かお
big, おおきい
chopsticks, おはし
mandarin orange, みかん
mosquito, か 
umbrella, かさ
inside, なか
snow, ゆき
yellow, きいろ
black, くろ
mouth, くち
bear, くま
spider, くも
bamboo, たけ
pond, いけ
to erase, けす
clock, とけい
help!, たすけて
this, これ
where?, どこ
here, ここ
child, こども
cousin, いとこ
Mr/Mrs, ~さん
three, さん
white, しろ
legs, あし
insect, むし
pear, なし
sumo, すも
vinegar, す
sushi, すし
squirrel, りす
to like, すき
to do, する
teacher, せんせい
persons back, せなか
there, そこ
that, それ
lie; false, うそ
fun; enjoyable, たのしい
ouch!, いたい
tall; expensive, たかい
one, いち
road, みち
seven, しち
hot, あつい
when, いつ
hand, て


















